ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2008;FEV;PETRÓLEO;EXPORTAÇÃO;1251104,869;607035185
2008;JAN;PETRÓLEO;EXPORTAÇÃO;1221416,922;615869133
2008;JUL;PETRÓLEO;EXPORTAÇÃO;1977527,791;1405623267
2008;JUN;PETRÓLEO;EXPORTAÇÃO;2584016,868;1799810490
2008;MAI;PETRÓLEO;EXPORTAÇÃO;3354216,258;1939748035
2008;MAR;PETRÓLEO;EXPORTAÇÃO;678752,0304;367863659
2008;NOV;PETRÓLEO;EXPORTAÇÃO;2858233,926;1125021707
2008;OUT;PETRÓLEO;EXPORTAÇÃO;2371801,061;1450355341
2008;SET;PETRÓLEO;EXPORTAÇÃO;1788926,615;1107032760
2008;ABR;PETRÓLEO;IMPORTAÇÃO;1637137,905;1145705946
2008;AGO;PETRÓLEO;IMPORTAÇÃO;2367298,467;2003484147
2008;DEZ;PETRÓLEO;IMPORTAÇÃO;2024250,201;794700155
2008;FEV;PETRÓLEO;IMPORTAÇÃO;1780871,422;1065393959
2008;JAN;PETRÓLEO;IMPORTAÇÃO;1568997,831;966387546
2008;JUL;PETRÓLEO;IMPORTAÇÃO;2317086,852;2056163188
2008;JUN;PETRÓLEO;IMPORTAÇÃO;2692026,841;2156138127
2008;MAI;PETRÓLEO;IMPORTAÇÃO;2467915,353;1786731744
2008;MAR;PETRÓLEO;IMPORTAÇÃO;1812964,245;1137076230
2008;NOV;PETRÓLEO;IMPORTAÇÃO;1201807,653;653372237
2008;OUT;PETRÓLEO;IMPORTAÇÃO;2117620,316;1457961178
2008;SET;PETRÓLEO;IMPORTAÇÃO;1734152,293;1349440124
2009;ABR;PETRÓLEO;EXPORTAÇÃO;2404857,512;487156593
2009;AGO;PETRÓLEO;EXPORTAÇÃO;3819313,539;1347738894
2009;DEZ;PETRÓLEO;EXPORTAÇÃO;2131495,253;943370723
2009;FEV;PETRÓLEO;EXPORTAÇÃO;2596698,818;504198570
2009;JAN;PETRÓLEO;EXPORTAÇÃO;1966594,408;343637965
2009;JUL;PETRÓLEO;EXPORTAÇÃO;3781408,304;1278703323
2009;JUN;PETRÓLEO;EXPORTAÇÃO;2034174,694;557516944
2009;MAI;PETRÓLEO;EXPORTAÇÃO;2606485,979;602785281
2009;MAR;PETRÓLEO;EXPORTAÇÃO;1774363,523;305990351
2009;NOV;PETRÓLEO;EXPORTAÇÃO;2602636,575;1064318139
2009;OUT;PETRÓLEO;EXPORTAÇÃO;3003245,876;1169958994
2009;SET;PETRÓLEO;EXPORTAÇÃO;1781780,774;765003495
2009;ABR;PETRÓLEO;IMPORTAÇÃO;1771244,138;562068211
2009;AGO;PETRÓLEO;IMPORTAÇÃO;1429010,557;650099374
2009;DEZ;PETRÓLEO;IMPORTAÇÃO;1927285,526;991708411
2009;FEV;PETRÓLEO;IMPORTAÇÃO;1917350,646;560935492
2009;JAN;PETRÓLEO;IMPORTAÇÃO;1716202,784;504513911
2009;JUL;PETRÓLEO;IMPORTAÇÃO;2102730,728;946402496
2009;JUN;PETRÓLEO;IMPORTAÇÃO;2022056,145;833892016
2009;MAI;PETRÓLEO;IMPORTAÇÃO;2159849,188;731851131
2009;MAR;PETRÓLEO;IMPORTAÇÃO;1748340,303;538287194
2009;NOV;PETRÓLEO;IMPORTAÇÃO;1674080,82;823071332
2009;OUT;PETRÓLEO;IMPORTAÇÃO;1901706,876;888941834
2009;SET;PETRÓLEO;IMPORTAÇÃO;2446901,465;1173716964
2010;ABR;PETRÓLEO;EXPORTAÇÃO;2865707,219;1313522809
2010;AGO;PETRÓLEO;EXPORTAÇÃO;3346050,786;1392656997
2010;DEZ;PETRÓLEO;EXPORTAÇÃO;6093020;2815505352
2010;FEV;PETRÓLEO;EXPORTAÇÃO;2817657;1233606769
2010;JAN;PETRÓLEO;EXPORTAÇÃO;2369114;1014449589
2010;JUL;PETRÓLEO;EXPORTAÇÃO;1673388,459;711758481
2010;JUN;PETRÓLEO;EXPORTAÇÃO;2787806,723;1194755082
2010;MAI;PETRÓLEO;EXPORTAÇÃO;3688684,755;1743693234
2010;MAR;PETRÓLEO;EXPORTAÇÃO;3514758,053;1524449171
2010;NOV;PETRÓLEO;EXPORTAÇÃO;2928768,672;1333048223
2010;OUT;PETRÓLEO;EXPORTAÇÃO;1622016,694;716646334
2010;SET;PETRÓLEO;EXPORTAÇÃO;2938267,171;1299147999
2010;ABR;PETRÓLEO;IMPORTAÇÃO;1904782,619;1007200490
2010;AGO;PETRÓLEO;IMPORTAÇÃO;1074402,723;561547215
2010;DEZ;PETRÓLEO;IMPORTAÇÃO;1404940,95;775761516
2010;FEV;PETRÓLEO;IMPORTAÇÃO;1769524;901503799
2010;JAN;PETRÓLEO;IMPORTAÇÃO;1270622;630485721
2010;JUL;PETRÓLEO;IMPORTAÇÃO;2361314,615;1117568866
2010;JUN;PETRÓLEO;IMPORTAÇÃO;1822318,38;939907378
2010;MAI;PETRÓLEO;IMPORTAÇÃO;1579962,094;848538859
2010;MAR;PETRÓLEO;IMPORTAÇÃO;1770272,154;874665254
2010;NOV;PETRÓLEO;IMPORTAÇÃO;1632526,067;874878727
2010;OUT;PETRÓLEO;IMPORTAÇÃO;1299304,254;675585348
2010;SET;PETRÓLEO;IMPORTAÇÃO;1768556,004;888895380
2011;ABR;PETRÓLEO;EXPORTAÇÃO;2469083,75;1536034093
2011;AGO;PETRÓLEO;EXPORTAÇÃO;3689321,763;2396571771
2011;DEZ;PETRÓLEO;EXPORTAÇÃO;3948660,25;2527356605
2011;FEV;PETRÓLEO;EXPORTAÇÃO;3146518;1677642545
2011;JAN;PETRÓLEO;EXPORTAÇÃO;2293445,203;1188396928
2011;JUL;PETRÓLEO;EXPORTAÇÃO;3156814;2023005424
2011;JUN;PETRÓLEO;EXPORTAÇÃO;2779990,397;1866824289
2011;MAI;PETRÓLEO;EXPORTAÇÃO;3951702,92;2693183311
2011;MAR;PETRÓLEO;EXPORTAÇÃO;2094252;1143710739
2011;NOV;PETRÓLEO;EXPORTAÇÃO;2400644;1522505197
2011;OUT;PETRÓLEO;EXPORTAÇÃO;2750126;1750551624
2011;SET;PETRÓLEO;EXPORTAÇÃO;2399722,973;1459662419
2011;ABR;PETRÓLEO;IMPORTAÇÃO;2164833;1634152678
2011;AGO;PETRÓLEO;IMPORTAÇÃO;1416876,202;1058322410
2011;DEZ;PETRÓLEO;IMPORTAÇÃO;1260591,85;932238300
2011;FEV;PETRÓLEO;IMPORTAÇÃO;1861389,765;1150523952
2011;JAN;PETRÓLEO;IMPORTAÇÃO;1023328,411;640508832
2011;JUL;PETRÓLEO;IMPORTAÇÃO;1026035;801771994
2011;JUN;PETRÓLEO;IMPORTAÇÃO;1683584;1321038591
2011;MAI;PETRÓLEO;IMPORTAÇÃO;1828406;1460130768
2011;MAR;PETRÓLEO;IMPORTAÇÃO;1867903,484;1335650071
2011;NOV;PETRÓLEO;IMPORTAÇÃO;1775224;1335371101
2011;OUT;PETRÓLEO;IMPORTAÇÃO;1931387;1392620668
2011;SET;PETRÓLEO;IMPORTAÇÃO;1441261;1089476664
2012;ABR;PETRÓLEO;EXPORTAÇÃO;3156675,021;2250979426
2012;AGO;PETRÓLEO;EXPORTAÇÃO;4001876,332;2334210463
2012;DEZ;PETRÓLEO;EXPORTAÇÃO;3674111,834;2311014633
2012;FEV;PETRÓLEO;EXPORTAÇÃO;2632470,687;1682153949
2012;JAN;PETRÓLEO;EXPORTAÇÃO;2438161,834;1553983918
2012;JUL;PETRÓLEO;EXPORTAÇÃO;2334936,835;1348032731
2012;JUN;PETRÓLEO;EXPORTAÇÃO;1667295,976;1065155301
2012;MAI;PETRÓLEO;EXPORTAÇÃO;2569591,008;1779810230
2012;MAR;PETRÓLEO;EXPORTAÇÃO;3205606,444;2115644731
2012;NOV;PETRÓLEO;EXPORTAÇÃO;2456275,182;1573939101
2012;OUT;PETRÓLEO;EXPORTAÇÃO;1283882,973;794288048
2012;SET;PETRÓLEO;EXPORTAÇÃO;2460466,516;1496664060
2012;ABR;PETRÓLEO;IMPORTAÇÃO;2020591,262;1643874628
2012;AGO;PETRÓLEO;IMPORTAÇÃO;679917,1996;462050429
2012;DEZ;PETRÓLEO;IMPORTAÇÃO;1696042,047;1263639770
2012;FEV;PETRÓLEO;IMPORTAÇÃO;962404,8743;730127399
2012;JAN;PETRÓLEO;IMPORTAÇÃO;1502685;1118909736
2012;JUL;PETRÓLEO;IMPORTAÇÃO;1869553,11;1235122745
2012;JUN;PETRÓLEO;IMPORTAÇÃO;2265191,822;1664015742
2012;MAI;PETRÓLEO;IMPORTAÇÃO;1551755,824;1225097942
